Date,SiteID,Transect,CommonName,SpeciesName,SampleNumber,nValue,DDLat,DDLong,SpeciesSymbol,ESD_Designation,SoilType
4/19/2025,LUSLU_8,1,Lehmann lovegrass,Eragrostis lehmanniana,1,62.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Lehmann lovegrass,Eragrostis lehmanniana,2,85,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Lehmann lovegrass,Eragrostis lehmanniana,3,85,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Lehmann lovegrass,Eragrostis lehmanniana,4,37.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Lehmann lovegrass,Eragrostis lehmanniana,5,62.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,burroweed,Isocoma tenuisecta,5,2.5,31.79034,-110.87986,ISTE2,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Lehmann lovegrass,Eragrostis lehmanniana,6,85,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Lehmann lovegrass,Eragrostis lehmanniana,7,2.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,tanglehead,Heteropogon contortus,7,85,31.79034,-110.87986,HECO10,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Annual forb(s),Annual forb(s),7,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,tanglehead,Heteropogon contortus,8,97.5,31.79034,-110.87986,HECO10,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,tanglehead,Heteropogon contortus,9,97.5,31.79034,-110.87986,HECO10,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Lehmann lovegrass,Eragrostis lehmanniana,9,2.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Lehmann lovegrass,Eragrostis lehmanniana,10,85,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,tanglehead,Heteropogon contortus,10,2.5,31.79034,-110.87986,HECO10,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,burroweed,Isocoma tenuisecta,11,2.5,31.79034,-110.87986,ISTE2,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,tanglehead,Heteropogon contortus,11,85,31.79034,-110.87986,HECO10,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Lehmann lovegrass,Eragrostis lehmanniana,11,2.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,tanglehead,Heteropogon contortus,12,15,31.79034,-110.87986,HECO10,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Lehmann lovegrass,Eragrostis lehmanniana,12,15,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Lehmann lovegrass,Eragrostis lehmanniana,13,62.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Arizona cottontop,Digitaria californica,13,37.5,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Lehmann lovegrass,Eragrostis lehmanniana,14,62.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Lehmann lovegrass,Eragrostis lehmanniana,15,15,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Arizona cottontop,Digitaria californica,16,2.5,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,burroweed,Isocoma tenuisecta,16,2.5,31.79034,-110.87986,ISTE2,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Lehmann lovegrass,Eragrostis lehmanniana,16,15,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Annual forb(s),Annual forb(s),16,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Lehmann lovegrass,Eragrostis lehmanniana,17,37.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Annual forb(s),Annual forb(s),17,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Lehmann lovegrass,Eragrostis lehmanniana,18,37.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Lehmann lovegrass,Eragrostis lehmanniana,19,85,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Arizona cottontop,Digitaria californica,19,2.5,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Lehmann lovegrass,Eragrostis lehmanniana,20,15,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,1,Annual forb(s),Annual forb(s),20,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Annual forb(s),Annual forb(s),1,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,bush muhly,Muhlenbergia porteri,1,2.5,31.79034,-110.87986,MUPO2,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,burroweed,Isocoma tenuisecta,1,15,31.79034,-110.87986,ISTE2,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Arizona cottontop,Digitaria californica,2,37.5,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,catclaw acacia,Acacia greggii,2,2.5,31.79034,-110.87986,ACGR,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Lehmann lovegrass,Eragrostis lehmanniana,2,15,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Arizona cottontop,Digitaria californica,3,62.5,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,catclaw acacia,Acacia greggii,3,2.5,31.79034,-110.87986,ACGR,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,burroweed,Isocoma tenuisecta,3,15,31.79034,-110.87986,ISTE2,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,burroweed,Isocoma tenuisecta,4,15,31.79034,-110.87986,ISTE2,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Lehmann lovegrass,Eragrostis lehmanniana,4,62.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Arizona cottontop,Digitaria californica,4,2.5,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Annual forb(s),Annual forb(s),5,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Lehmann lovegrass,Eragrostis lehmanniana,5,62.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Annual forb(s),Annual forb(s),6,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Lehmann lovegrass,Eragrostis lehmanniana,6,62.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Arizona cottontop,Digitaria californica,6,15,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Lehmann lovegrass,Eragrostis lehmanniana,7,85,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Lehmann lovegrass,Eragrostis lehmanniana,8,37.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,burroweed,Isocoma tenuisecta,8,15,31.79034,-110.87986,ISTE2,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Lehmann lovegrass,Eragrostis lehmanniana,9,15,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Lehmann lovegrass,Eragrostis lehmanniana,10,37.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Annual forb(s),Annual forb(s),10,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Lehmann lovegrass,Eragrostis lehmanniana,11,15,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,velvet mesquite,Prosopis velutina,11,15,31.79034,-110.87986,PRVE,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Annual forb(s),Annual forb(s),11,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,velvet mesquite,Prosopis velutina,12,37.5,31.79034,-110.87986,PRVE,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,climbing wartclub,Commicarpus scandens,12,15,31.79034,-110.87986,COSC,Perennial Herb,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Annual forb(s),Annual forb(s),12,15,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Arizona cottontop,Digitaria californica,12,15,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Annual forb(s),Annual forb(s),13,15,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Arizona cottontop,Digitaria californica,13,15,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Annual forb(s),Annual forb(s),14,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Lehmann lovegrass,Eragrostis lehmanniana,14,15,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Arizona cottontop,Digitaria californica,14,37.5,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,burroweed,Isocoma tenuisecta,15,2.5,31.79034,-110.87986,ISTE2,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Lehmann lovegrass,Eragrostis lehmanniana,15,15,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Arizona cottontop,Digitaria californica,15,37.5,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Lehmann lovegrass,Eragrostis lehmanniana,16,37.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Lehmann lovegrass,Eragrostis lehmanniana,17,62.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,burroweed,Isocoma tenuisecta,17,15,31.79034,-110.87986,ISTE2,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Lehmann lovegrass,Eragrostis lehmanniana,18,62.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Lehmann lovegrass,Eragrostis lehmanniana,19,62.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,2,Lehmann lovegrass,Eragrostis lehmanniana,20,37.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Lehmann lovegrass,Eragrostis lehmanniana,1,2.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Annual forb(s),Annual forb(s),1,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,velvet mesquite,Prosopis velutina,1,37.5,31.79034,-110.87986,PRVE,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Arizona cottontop,Digitaria californica,1,15,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Annual forb(s),Annual forb(s),2,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,velvet mesquite,Prosopis velutina,2,15,31.79034,-110.87986,PRVE,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,climbing wartclub,Commicarpus scandens,2,2.5,31.79034,-110.87986,COSC,Perennial Herb,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Annual forb(s),Annual forb(s),3,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,climbing wartclub,Commicarpus scandens,3,15,31.79034,-110.87986,COSC,Perennial Herb,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,velvet mesquite,Prosopis velutina,3,37.5,31.79034,-110.87986,PRVE,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,velvet mesquite,Prosopis velutina,4,15,31.79034,-110.87986,PRVE,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Arizona cottontop,Digitaria californica,4,2.5,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,climbing wartclub,Commicarpus scandens,4,15,31.79034,-110.87986,COSC,Perennial Herb,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Annual forb(s),Annual forb(s),4,15,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Lehmann lovegrass,Eragrostis lehmanniana,4,2.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Lehmann lovegrass,Eragrostis lehmanniana,5,2.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,velvet mesquite,Prosopis velutina,5,15,31.79034,-110.87986,PRVE,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Arizona cottontop,Digitaria californica,5,2.5,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,burroweed,Isocoma tenuisecta,6,15,31.79034,-110.87986,ISTE2,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Annual forb(s),Annual forb(s),6,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Lehmann lovegrass,Eragrostis lehmanniana,6,15,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Arizona cottontop,Digitaria californica,6,15,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Arizona cottontop,Digitaria californica,7,15,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Lehmann lovegrass,Eragrostis lehmanniana,7,37.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
